"id" "time" "group" "y"
1 0 1 14.7080133053569
1 1 1 14.3225958266136
1 2 1 12.0592451165454
1 3 1 13.0394121151691
1 4 1 15.437748709544
1 5 1 12.7091970381482
1 6 1 11.1009763938556
1 7 1 13.2362362775821
1 8 1 10.8101789134212
1 9 1 10.0506954857725
1 10 1 11.1740123007349
1 11 1 11.7871606555494
1 12 1 10.3061436527453
1 13 1 6.37905414298053
1 14 1 8.83233108760547
1 15 1 10.5247931399333
1 17 1 9.7261840870635
1 19 1 7.01029420357623
1 21 1 7.72500250228475
1 22 1 2.91941809153042
1 23 1 10.3014935422139
1 24 1 8.71620882581064
1 25 1 7.55318399926803
1 27 1 7.47985995411279
1 28 1 5.47837709329614
1 29 1 6.03270794459559
1 30 1 9.18615696494979
1 31 1 7.03240282340624
1 32 1 0.963483319475175
1 34 1 6.93059688938181
1 35 1 4.78768957653363
1 36 1 4.90837903721897
1 37 1 3.83845057131107
1 38 1 5.94325659734625
1 39 1 3.58567644038392
1 40 1 4.15761697516416
2 0 1 15.7624927156519
2 1 1 15.2963273081849
2 4 1 14.2586995502411
2 5 1 15.2359600765688
2 6 1 15.452648526501
2 7 1 15.6578028999771
2 8 1 15.2881434124395
2 9 1 13.3311101689059
2 10 1 15.4857670902256
2 12 1 12.8459571017714
2 13 1 13.2635846751004
2 14 1 12.5496839631338
2 15 1 12.5627385091343
2 16 1 12.5906761840057
2 18 1 12.0308119241073
2 19 1 11.64834662641
2 20 1 11.5226488850836
2 21 1 10.7130395358665
2 22 1 10.4405115300993
2 23 1 9.07081518189719
2 24 1 10.0494301052242
2 25 1 9.66756983536273
2 27 1 12.3815933310234
2 28 1 8.04163777994031
2 29 1 9.31202955523383
2 30 1 7.37783983260875
2 31 1 7.1365332495853
2 32 1 8.55306973612542
2 33 1 7.11013026724147
2 34 1 7.91961896110426
2 35 1 7.2062575889438
2 36 1 6.74809728751752
2 37 1 4.92723756684008
2 38 1 5.55031022192574
2 39 1 6.87459231867238
2 40 1 7.06994539718345
3 0 0 11.9295366893042
3 1 0 10.6162056829875
3 2 0 9.106095448777
3 4 0 10.5246527170343
3 5 0 7.68921531426526
3 6 0 9.53393783728488
3 7 0 8.89670851184313
3 9 0 10.8507532721251
3 11 0 7.15288436961055
3 12 0 7.54197182520575
3 14 0 10.4508237618858
3 15 0 5.66110453403907
3 18 0 8.77800442343447
3 22 0 6.28104737850845
3 23 0 8.92586159200308
3 27 0 4.04424563096185
3 29 0 3.04538391823024
3 30 0 6.09835119254024
3 36 0 3.88742319023794
3 40 0 2.38750012676236
4 1 1 11.4686598025225
4 3 1 11.488020320872
4 4 1 14.6339695932582
4 5 1 9.74873171316515
4 6 1 3.5256788186118
4 7 1 9.83690314341469
4 8 1 11.9942758054095
4 9 1 14.3464548808652
4 10 1 4.11929313825607
4 11 1 4.49562731853449
4 13 1 5.26647912559157
4 14 1 3.93649895180798
4 15 1 4.90803579945688
4 16 1 6.06588920453481
4 17 1 2.62790345998875
4 18 1 12.5859188702673
4 19 1 6.23525406518123
4 20 1 5.36932246857467
4 21 1 7.00674839703033
4 22 1 5.2640365336379
4 23 1 4.45145927666843
4 24 1 9.60240197625501
4 25 1 3.65433419656165
4 26 1 -0.25883143690699
4 27 1 5.22601541851358
4 28 1 2.41164254210368
4 29 1 1.54785416684582
4 31 1 -0.957995760724317
4 32 1 4.19987309305172
4 33 1 1.75111111689479
4 34 1 4.05552460301687
